t,u
-2.1064E-03,2.200E+00
-2.1058E-03,2.200E+00
-2.1053E-03,2.200E+00
-2.1048E-03,2.200E+00
-2.1043E-03,2.200E+00
-2.1038E-03,1.800E+00
-2.1033E-03,2.200E+00
-2.1028E-03,1.800E+00
-2.1023E-03,1.800E+00
-2.1018E-03,2.200E+00
-2.1013E-03,2.200E+00
-2.1008E-03,2.200E+00
-2.1003E-03,1.800E+00
-2.0998E-03,2.200E+00
-2.0993E-03,1.800E+00
-2.0988E-03,2.200E+00
-2.0983E-03,1.800E+00
-2.0978E-03,1.800E+00
-2.0973E-03,1.800E+00
-2.0968E-03,1.800E+00
-2.0963E-03,1.800E+00
-2.0958E-03,1.800E+00
-2.0953E-03,1.800E+00
-2.0948E-03,2.200E+00
-2.0943E-03,2.200E+00
-2.0938E-03,2.200E+00
-2.0932E-03,1.400E+00
-2.0927E-03,2.200E+00
-2.0922E-03,2.200E+00
-2.0917E-03,1.800E+00
-2.0912E-03,1.800E+00
-2.0907E-03,1.800E+00
-2.0902E-03,1.800E+00
-2.0897E-03,1.800E+00
-2.0892E-03,2.200E+00
-2.0887E-03,1.800E+00
-2.0882E-03,2.200E+00
-2.0877E-03,2.200E+00
-2.0872E-03,2.200E+00
-2.0867E-03,1.800E+00
-2.0862E-03,1.800E+00
-2.0857E-03,2.200E+00
-2.0852E-03,2.200E+00
-2.0847E-03,2.200E+00
-2.0842E-03,2.200E+00
-2.0837E-03,2.200E+00
-2.0832E-03,2.200E+00
-2.0827E-03,2.200E+00
-2.0822E-03,1.800E+00
-2.0817E-03,1.800E+00
-2.0811E-03,1.800E+00
-2.0806E-03,1.800E+00
-2.0801E-03,2.200E+00
-2.0796E-03,2.200E+00
-2.0791E-03,2.200E+00
-2.0786E-03,1.800E+00
-2.0781E-03,2.200E+00
-2.0776E-03,2.200E+00
-2.0771E-03,1.800E+00
-2.0766E-03,2.200E+00
-2.0761E-03,2.200E+00
-2.0756E-03,2.200E+00
-2.0751E-03,2.200E+00
-2.0746E-03,2.200E+00
-2.0741E-03,2.200E+00
-2.0736E-03,2.200E+00
-2.0731E-03,1.800E+00
-2.0726E-03,2.200E+00
-2.0721E-03,1.800E+00
-2.0716E-03,1.800E+00
-2.0711E-03,2.200E+00
-2.0706E-03,1.800E+00
-2.0701E-03,1.800E+00
-2.0696E-03,1.800E+00
-2.0691E-03,1.800E+00
-2.0685E-03,2.200E+00
-2.0680E-03,1.800E+00
-2.0675E-03,2.200E+00
-2.0670E-03,2.200E+00
-2.0665E-03,1.800E+00
-2.0660E-03,1.800E+00
-2.0655E-03,2.200E+00
-2.0650E-03,1.800E+00
-2.0645E-03,1.800E+00
-2.0640E-03,1.800E+00
-2.0635E-03,2.200E+00
-2.0630E-03,2.200E+00
-2.0625E-03,2.200E+00
-2.0620E-03,1.800E+00
-2.0615E-03,2.200E+00
-2.0610E-03,1.800E+00
-2.0605E-03,1.800E+00
-2.0600E-03,1.800E+00
