time,V(n002)
9.386300469218309e-002,1.393086e+000
9.426300469218309e-002,9.142642e-001
9.466300469218308e-002,4.210236e-001
9.506300469218308e-002,-7.918618e-002
9.514508153005372e-002,-1.824174e-001
9.522715836792435e-002,-2.853624e-001
9.530923520579498e-002,-3.880211e-001
9.539131204366563e-002,-4.903936e-001
9.547338888153627e-002,-5.924798e-001
9.555546571940690e-002,-6.942798e-001
9.563754255727754e-002,-7.957935e-001
9.568269575817669e-002,-8.513350e-001
9.568668984003631e-002,-8.562415e-001
9.569467800375556e-002,-8.660446e-001
9.569667504468536e-002,-8.684947e-001
9.570066912654499e-002,-8.733935e-001
9.570117475013115e-002,-8.740136e-001
9.570218599730349e-002,-8.752536e-001
9.570354806702869e-002,-8.769236e-001
9.570448088200616e-002,-8.780673e-001
9.570510836520274e-002,-8.788366e-001
9.570551134630304e-002,-8.793306e-001
9.570580133913946e-002,-8.796861e-001
9.570602742196704e-002,-8.799633e-001
9.570622895233714e-002,-8.802103e-001
9.570644303173725e-002,-8.804727e-001
9.570667194081425e-002,-8.807533e-001
9.570694244839338e-002,-8.810849e-001
9.570721408610304e-002,-8.814179e-001
9.570748635460734e-002,-8.817516e-001
9.570776137041032e-002,-8.820887e-001
9.570805133225227e-002,-8.824441e-001
9.570834370798637e-002,-8.828024e-001
9.570850830217773e-002,-8.830042e-001
9.570867978681404e-002,-8.832144e-001
9.570885541320245e-002,-8.834296e-001
9.570901568847438e-002,-8.836260e-001
9.570923812960043e-002,-8.838987e-001
9.570927651799836e-002,-8.839457e-001
9.571001257063089e-002,-8.848478e-001
9.571074862326340e-002,-8.857498e-001
9.571148467589592e-002,-8.866518e-001
9.571222072852845e-002,-8.875537e-001
9.571295678116097e-002,-8.884555e-001
9.571369283379348e-002,-8.893573e-001
9.571442888642601e-002,-8.902591e-001
9.596632707738070e-002,-1.197553e+000
9.621822526833540e-002,-1.493237e+000
9.647012345929010e-002,-1.777309e+000
9.672202165024479e-002,-2.049769e+000
9.697391984119949e-002,-2.310619e+000
9.722581803215419e-002,-2.559857e+000
9.747771622310889e-002,-2.797484e+000
9.787771622310888e-002,-3.130986e+000
9.827771622310888e-002,-3.415112e+000
9.867771622310888e-002,-3.645378e+000
9.907771622310888e-002,-3.818155e+000
9.947771622310887e-002,-3.930717e+000
9.987771622310887e-002,-3.992235e+000
1.000000000000000e-001,-4.000000e+000
