time,V(n002)
8.588711991012939e-002,1.096074e+000
8.628711991012938e-002,1.567520e+000
8.668711991012938e-002,2.014245e+000
8.708711991012938e-002,2.433012e+000
8.733377573008645e-002,2.672359e+000
8.761373624845704e-002,2.922468e+000
8.787133171968416e-002,3.132864e+000
8.817400691363321e-002,3.359684e+000
8.818022416749120e-002,3.363924e+000
8.819265867520718e-002,3.372343e+000
8.820896695304467e-002,3.383333e+000
8.821144892139503e-002,3.384998e+000
8.821641285809574e-002,3.388318e+000
8.821745930451930e-002,3.389017e+000
8.821955219736641e-002,3.390413e+000
8.822108061570716e-002,3.391432e+000
8.822230165378300e-002,3.392245e+000
8.822251637372312e-002,3.392388e+000
8.822294581360336e-002,3.392674e+000
8.822369168394909e-002,3.393171e+000
8.822423536434436e-002,3.393532e+000
8.822463900624626e-002,3.393801e+000
8.822493680954578e-002,3.393999e+000
8.822518564232192e-002,3.394164e+000
8.822538343611519e-002,3.394296e+000
8.822552780882539e-002,3.394392e+000
8.822563374796209e-002,3.394462e+000
8.822571876639758e-002,3.394519e+000
8.822579631831010e-002,3.394570e+000
8.822587815003632e-002,3.394625e+000
8.822596587101553e-002,3.394683e+000
8.822606411328911e-002,3.394748e+000
8.822616645464468e-002,3.394816e+000
8.822627045693368e-002,3.394886e+000
8.822638830550671e-002,3.394964e+000
8.822644205013241e-002,3.395000e+000
8.822649754843076e-002,3.395036e+000
8.822681927057598e-002,3.395250e+000
8.822708486364522e-002,3.395427e+000
8.822761604978371e-002,3.395779e+000
8.822763076407128e-002,3.395789e+000
8.822783676409719e-002,3.395926e+000
8.822934991843988e-002,3.396930e+000
8.823223343664467e-002,3.398842e+000
8.823511695484947e-002,3.400751e+000
8.823800047305426e-002,3.402657e+000
8.824088399125904e-002,3.404559e+000
8.824376750946383e-002,3.406458e+000
8.824665102766863e-002,3.408354e+000
8.824953454587342e-002,3.410246e+000
8.882274982068550e-002,3.722879e+000
8.939596509549759e-002,3.912709e+000
8.996918037030967e-002,3.979737e+000
9.054239564512176e-002,3.923962e+000
9.111561091993384e-002,3.745384e+000
9.168882619474593e-002,3.444004e+000
9.226204146955801e-002,3.019822e+000
9.266204146955800e-002,2.670269e+000
9.306204146955800e-002,2.278605e+000
9.346204146955800e-002,1.851006e+000
9.386204146955800e-002,1.394216e+000
9.426204146955799e-002,9.154376e-001
9.466204146955799e-002,4.222225e-001
9.506204146955799e-002,-7.765131e-002
9.546204146955799e-002,-5.763005e-001
9.586204146955799e-002,-1.065861e+000
9.626204146955798e-002,-1.538612e+000
9.666204146955798e-002,-1.987099e+000
9.706204146955798e-002,-2.408170e+000
9.730241984470102e-002,-2.643144e+000
9.758049791364695e-002,-2.894209e+000
9.782453876292699e-002,-3.096352e+000
9.810571357334307e-002,-3.311487e+000
9.815362336853664e-002,-3.345712e+000
9.817278728661408e-002,-3.358813e+000
9.820537721619436e-002,-3.380919e+000
9.820849111512230e-002,-3.383015e+000
9.821471891297814e-002,-3.387186e+000
9.821606151396858e-002,-3.388083e+000
9.821874671594945e-002,-3.389876e+000
9.821941801644467e-002,-3.390324e+000
9.822076061743511e-002,-3.391218e+000
9.822213422891492e-002,-3.392134e+000
9.822307127364501e-002,-3.392758e+000
9.822319630323437e-002,-3.392841e+000
9.822344636241308e-002,-3.393007e+000
9.822394648077050e-002,-3.393340e+000
9.822439005168618e-002,-3.393635e+000
9.822474728611312e-002,-3.393873e+000
9.822502041276043e-002,-3.394054e+000
9.822526272886309e-002,-3.394216e+000
9.822545424346144e-002,-3.394343e+000
9.822559279739461e-002,-3.394435e+000
9.822569473409135e-002,-3.394503e+000
9.822577777014185e-002,-3.394558e+000
9.822585514275810e-002,-3.394609e+000
9.822593889592200e-002,-3.394665e+000
9.822602677852239e-002,-3.394723e+000
9.822612785085812e-002,-3.394791e+000
9.822622878253051e-002,-3.394858e+000
9.822633493927556e-002,-3.394928e+000
9.822645658952879e-002,-3.395009e+000
9.822651302006534e-002,-3.395047e+000
9.822664791397277e-002,-3.395136e+000
9.822697790104971e-002,-3.395355e+000
9.822732850402498e-002,-3.395588e+000
9.822776017417716e-002,-3.395875e+000
9.822776941154703e-002,-3.395881e+000
9.822833548348810e-002,-3.396257e+000
9.822890155542915e-002,-3.396633e+000
9.822946762737023e-002,-3.397008e+000
9.823003369931128e-002,-3.397384e+000
9.823059977125236e-002,-3.397759e+000
9.823116584319341e-002,-3.398135e+000
9.823173191513449e-002,-3.398510e+000
9.843493315767458e-002,-3.522562e+000
9.863813440021467e-002,-3.632223e+000
9.884133564275477e-002,-3.727493e+000
9.904453688529485e-002,-3.808372e+000
9.924773812783495e-002,-3.874860e+000
9.945093937037504e-002,-3.926957e+000
9.965414061291514e-002,-3.964664e+000
9.995414061291515e-002,-3.998229e+000
1.000000000000000e-001,-4.000000e+000
